nohup: 忽略輸入
開始收集：object=002_master_chef_can  workers=10  log_dir=/home/rex/dexgrasp/logs  停止條件: duration=36000.0s attempts=None target_successes=2000
[   6.6 min] attempts=  2435  successes=    0 (  0.0%)   6.16 attempts/s
[   6.7 min] attempts=  2473  successes=    0 (  0.0%)   6.18 attempts/s
[   6.8 min] attempts=  2502  successes=    0 (  0.0%)   6.17 attempts/s
[   6.8 min] attempts=  2531  successes=    0 (  0.0%)   6.17 attempts/s
[   6.9 min] attempts=  2562  successes=    0 (  0.0%)   6.17 attempts/s
[   7.0 min] attempts=  2594  successes=    0 (  0.0%)   6.17 attempts/s
[   7.1 min] attempts=  2626  successes=    0 (  0.0%)   6.17 attempts/s
[   7.2 min] attempts=  2654  successes=    0 (  0.0%)   6.17 attempts/s
[   7.3 min] attempts=  2688  successes=    0 (  0.0%)   6.17 attempts/s
[   7.3 min] attempts=  2719  successes=    0 (  0.0%)   6.17 attempts/s
[   7.4 min] attempts=  2752  successes=    0 (  0.0%)   6.18 attempts/s
[   7.5 min] attempts=  2783  successes=    0 (  0.0%)   6.18 attempts/s
[   7.6 min] attempts=  2814  successes=    0 (  0.0%)   6.18 attempts/s
[   7.7 min] attempts=  2848  successes=    0 (  0.0%)   6.18 attempts/s
[   7.8 min] attempts=  2884  successes=    0 (  0.0%)   6.20 attempts/s
[   7.8 min] attempts=  2917  successes=    0 (  0.0%)   6.20 attempts/s
[   7.9 min] attempts=  2946  successes=    0 (  0.0%)   6.20 attempts/s
[   8.0 min] attempts=  2973  successes=    0 (  0.0%)   6.19 attempts/s
[   8.1 min] attempts=  3002  successes=    0 (  0.0%)   6.18 attempts/s
[   8.2 min] attempts=  3038  successes=    0 (  0.0%)   6.19 attempts/s
[   8.3 min] attempts=  3066  successes=    0 (  0.0%)   6.19 attempts/s
[   8.3 min] attempts=  3100  successes=    0 (  0.0%)   6.19 attempts/s
[   8.4 min] attempts=  3131  successes=    0 (  0.0%)   6.19 attempts/s
[   8.5 min] attempts=  3161  successes=    0 (  0.0%)   6.19 attempts/s
[   8.6 min] attempts=  3187  successes=    0 (  0.0%)   6.18 attempts/s
[   8.7 min] attempts=  3221  successes=    0 (  0.0%)   6.19 attempts/s
[   8.8 min] attempts=  3251  successes=    0 (  0.0%)   6.19 attempts/s
[   8.8 min] attempts=  3279  successes=    0 (  0.0%)   6.18 attempts/s
[   8.9 min] attempts=  3303  successes=    0 (  0.0%)   6.17 attempts/s
[   9.0 min] attempts=  3342  successes=    0 (  0.0%)   6.18 attempts/s
[   9.1 min] attempts=  3371  successes=    0 (  0.0%)   6.18 attempts/s
[   9.2 min] attempts=  3407  successes=    0 (  0.0%)   6.19 attempts/s
